Region Name,Sub-Region Name,Country Name
Africa,Northern Africa,Algeria
Africa,Northern Africa,Egypt
Africa,Northern Africa,Libya
Africa,Northern Africa,Morocco
Africa,Northern Africa,Sudan
Africa,Northern Africa,Tunisia
Africa,Northern Africa,Western Sahara
Africa,Sub-Saharan Africa,British Indian Ocean Territory
Africa,Sub-Saharan Africa,Burundi
Africa,Sub-Saharan Africa,Comoros
Africa,Sub-Saharan Africa,Djibouti
Africa,Sub-Saharan Africa,Eritrea
Africa,Sub-Saharan Africa,Ethiopia
Africa,Sub-Saharan Africa,French Southern Territories
Africa,Sub-Saharan Africa,Kenya
Africa,Sub-Saharan Africa,Madagascar
Africa,Sub-Saharan Africa,Malawi
Africa,Sub-Saharan Africa,Mauritius
Africa,Sub-Saharan Africa,Mayotte
Africa,Sub-Saharan Africa,Mozambique
Africa,Sub-Saharan Africa,Réunion
Africa,Sub-Saharan Africa,Rwanda
Africa,Sub-Saharan Africa,Seychelles
Africa,Sub-Saharan Africa,Somalia
Africa,Sub-Saharan Africa,South Sudan
Africa,Sub-Saharan Africa,Uganda
Africa,Sub-Saharan Africa,United Republic of Tanzania
Africa,Sub-Saharan Africa,Zambia
Africa,Sub-Saharan Africa,Zimbabwe
Africa,Sub-Saharan Africa,Angola
Africa,Sub-Saharan Africa,Cameroon
Africa,Sub-Saharan Africa,Central African Republic
Africa,Sub-Saharan Africa,Chad
Africa,Sub-Saharan Africa,Congo
Africa,Sub-Saharan Africa,Democratic Republic of the Congo
Africa,Sub-Saharan Africa,Equatorial Guinea
Africa,Sub-Saharan Africa,Gabon
Africa,Sub-Saharan Africa,Sao Tome and Principe
Africa,Sub-Saharan Africa,Botswana
Africa,Sub-Saharan Africa,Eswatini
Africa,Sub-Saharan Africa,Lesotho
Africa,Sub-Saharan Africa,Namibia
Africa,Sub-Saharan Africa,South Africa
Africa,Sub-Saharan Africa,Benin
Africa,Sub-Saharan Africa,Burkina Faso
Africa,Sub-Saharan Africa,Cabo Verde
Africa,Sub-Saharan Africa,Côte d’Ivoire
Africa,Sub-Saharan Africa,Gambia
Africa,Sub-Saharan Africa,Ghana
Africa,Sub-Saharan Africa,Guinea
Africa,Sub-Saharan Africa,Guinea-Bissau
Africa,Sub-Saharan Africa,Liberia
Africa,Sub-Saharan Africa,Mali
Africa,Sub-Saharan Africa,Mauritania
Africa,Sub-Saharan Africa,Niger
Africa,Sub-Saharan Africa,Nigeria
Africa,Sub-Saharan Africa,Saint Helena
Africa,Sub-Saharan Africa,Senegal
Africa,Sub-Saharan Africa,Sierra Leone
Africa,Sub-Saharan Africa,Togo
Americas,Latin America and the Caribbean,Anguilla
Americas,Latin America and the Caribbean,Antigua and Barbuda
Americas,Latin America and the Caribbean,Aruba
Americas,Latin America and the Caribbean,Bahamas
Americas,Latin America and the Caribbean,Barbados
Americas,Latin America and the Caribbean,"Bonaire,  Sint Eustatius and Saba"
Americas,Latin America and the Caribbean,British Virgin Islands
Americas,Latin America and the Caribbean,Cayman Islands
Americas,Latin America and the Caribbean,Cuba
Americas,Latin America and the Caribbean,Curaçao
Americas,Latin America and the Caribbean,Dominica
Americas,Latin America and the Caribbean,Dominican Republic
Americas,Latin America and the Caribbean,Grenada
Americas,Latin America and the Caribbean,Guadeloupe
Americas,Latin America and the Caribbean,Haiti
Americas,Latin America and the Caribbean,Jamaica
Americas,Latin America and the Caribbean,Martinique
Americas,Latin America and the Caribbean,Montserrat
Americas,Latin America and the Caribbean,Puerto Rico
Americas,Latin America and the Caribbean,Saint Barthélemy
Americas,Latin America and the Caribbean,Saint Kitts and Nevis
Americas,Latin America and the Caribbean,Saint Lucia
Americas,Latin America and the Caribbean,Saint Martin (French Part)
Americas,Latin America and the Caribbean,Saint Vincent and the Grenadines
